,Forecase
2018-10-01,1011.0840641821193
2018-10-02,-6433.837402197598
2018-10-03,-5582.635510196276
2018-10-04,-6652.702644514028
2018-10-05,-1350.0620792530349
2018-10-06,-4460.354257645472
2018-10-07,10115.933267333963
2018-10-08,4063.7640762088945
2018-10-09,7646.955325980887
2018-10-10,-6320.459164510424
2018-10-11,-6399.097828257995
2018-10-12,14795.58600365639
2018-10-13,-4913.323138515321
2018-10-14,11247.195587649972
2018-10-15,4166.472947360191
2018-10-16,1704.8327353085551
2018-10-17,-3038.800776937929
2018-10-18,-4652.692991248632
2018-10-19,155.51799158387436
2018-10-20,-2097.8335925233155
2018-10-21,5350.587293104196
2018-10-22,15264.36256841588
2018-10-23,-950.5114448408492
2018-10-24,-4698.660388957574
2018-10-25,-4079.271879720302
2018-10-26,-2634.0312646970456
2018-10-27,666.5983184852412
2018-10-28,33603.38261495308
2018-10-29,3049.806009731971
2018-10-30,-1676.8703106988276
2018-10-31,-10439.25292738951
2018-11-01,-12649.707015211094
2018-11-02,-12592.082035557305
2018-11-03,-2958.2690736762092
2018-11-04,6696.018346626796
2018-11-05,5632.465506222542
2018-11-06,18749.52299307582
2018-11-07,7848.183044387569
2018-11-08,-10627.780422423495
2018-11-09,-5909.947378971397
2018-11-10,10295.826737510917
2018-11-11,7977.337543126915
2018-11-12,11332.647097190571
2018-11-13,-3487.0080793129223
2018-11-14,8203.84817700167
2018-11-15,-4963.951464483699
2018-11-16,16436.2185520147
2018-11-17,2743.6312568749345
2018-11-18,3558.4001876022526
2018-11-19,3810.6290588636753
2018-11-20,-12670.243765531983
2018-11-21,-5767.776391603169
2018-11-22,224.64039157523632
2018-11-23,22973.71250721094
2018-11-24,13476.090279439102
2018-11-25,11759.092764076026
2018-11-26,-3167.0850059291975
2018-11-27,1241.6541215943444
2018-11-28,-15624.118467564187
2018-11-29,-9297.932277471304
2018-11-30,-12579.384631465546
2018-12-01,-5094.2352273785955
2018-12-02,1664.347734989361
2018-12-03,15429.442317472736
2018-12-04,-12902.293891699144
2018-12-05,-2243.941755500127
2018-12-06,-6316.1523507072425
2018-12-07,-3189.0602850036903
2018-12-08,682.668547209924
2018-12-09,9313.615234596318
2018-12-10,9009.383909986887
2018-12-11,-2154.497882374325
2018-12-12,-4140.841464453348
2018-12-13,-5941.610032491804
2018-12-14,509.1849883540996
2018-12-15,-2542.5137184280775
2018-12-16,766.5000936460523
2018-12-17,-768.0758603712103
2018-12-18,452.30532770573944
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,0.0
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,0.0
