Date,TAVG,AWND,SNWD
2013-05-27,62.0,3.8,0.0
2013-05-28,62.0,2.68,0.0
2013-05-29,70.0,1.57,0.0
2013-05-30,81.0,5.14,0.0
2013-05-31,82.5,4.03,0.0
2013-06-01,81.5,3.8,0.0
2013-06-02,78.5,6.04,0.0
2013-06-03,72.0,3.36,0.0
2013-06-04,66.0,4.92,0.0
2013-06-05,66.0,3.8,0.0
2013-06-06,64.5,5.14,0.0
2013-06-07,61.0,8.5,0.0
2013-06-08,67.0,3.8,0.0
2013-06-09,71.5,2.24,0.0
2013-06-10,66.0,5.82,0.0
2013-06-11,72.0,6.49,0.0
2013-06-12,70.5,5.37,0.0
2013-06-13,62.0,6.71,0.0
2013-06-14,62.5,5.14,0.0
2013-06-15,70.5,3.8,0.0
2013-06-16,72.5,3.8,0.0
2013-06-17,76.5,2.68,0.0
2013-06-18,74.0,3.58,0.0
2013-06-19,68.0,5.14,0.0
2013-06-20,71.0,3.8,0.0
2013-06-21,73.0,4.92,0.0
2013-06-22,74.5,4.03,0.0
2013-06-23,79.0,4.7,0.0
2013-06-24,83.0,4.25,0.0
2013-06-25,82.0,3.36,0.0
2013-06-26,79.5,3.8,0.0
2013-06-27,79.5,4.03,0.0
2013-06-28,79.0,5.14,0.0
2013-06-29,77.0,3.8,0.0
2013-06-30,79.5,3.13,0.0
2013-07-01,74.5,3.13,0.0
2013-07-02,77.0,2.68,0.0
2013-07-03,78.0,4.25,0.0
2013-07-04,81.0,4.25,0.0
2013-07-05,83.0,4.92,0.0
2013-07-06,85.0,4.47,0.0
2013-07-07,85.0,4.25,0.0
2013-07-08,81.0,4.7,0.0
2013-07-09,81.0,3.13,0.0
2013-07-10,80.0,4.25,0.0
2013-07-11,80.0,3.8,0.0
2013-07-12,72.5,9.62,0.0
2013-07-13,74.0,5.37,0.0
2013-07-14,82.0,4.03,0.0
2013-07-15,86.0,3.58,0.0
2013-07-16,85.5,4.7,0.0
2013-07-17,88.0,3.36,0.0
2013-07-18,89.5,3.8,0.0
2013-07-19,89.5,5.14,0.0
2013-07-20,87.0,5.82,0.0
2013-07-21,82.5,4.7,0.0
2013-07-22,80.5,4.92,0.0
2013-07-23,80.0,4.25,0.0
2013-07-24,75.5,4.47,0.0
2013-07-25,66.0,8.95,0.0
2013-07-26,74.0,5.14,0.0
2013-07-27,76.0,3.36,0.0
2013-07-28,74.0,2.01,0.0
2013-07-29,77.0,3.8,0.0
2013-07-30,75.0,4.03,0.0
2013-07-31,75.0,2.91,0.0
2013-08-01,71.0,2.91,0.0
2013-08-02,75.0,4.47,0.0
2013-08-03,73.0,3.36,0.0
2013-08-04,73.0,5.14,0.0
2013-08-05,70.0,3.36,0.0
2013-08-06,73.0,2.68,0.0
2013-08-07,75.0,5.14,0.0
2013-08-08,75.5,4.47,0.0
2013-08-09,79.5,4.25,0.0
2013-08-10,76.5,4.92,0.0
2013-08-11,73.0,2.46,0.0
2013-08-12,76.0,2.01,0.0
2013-08-13,72.5,2.68,0.0
2013-08-14,67.5,6.49,0.0
2013-08-15,68.5,3.58,0.0
2013-08-16,73.0,2.01,0.0
2013-08-17,74.0,2.01,0.0
2013-08-18,72.0,2.91,0.0
2013-08-19,72.5,3.36,0.0
2013-08-20,78.0,2.91,0.0
2013-08-21,81.0,2.46,0.0
2013-08-22,74.5,3.8,0.0
2013-08-23,76.5,5.59,0.0
2013-08-24,72.5,4.92,0.0
2013-08-25,73.5,4.03,0.0
2013-08-26,76.0,5.82,0.0
2013-08-27,79.0,4.7,0.0
2013-08-28,78.5,2.68,0.0
2013-08-29,75.5,4.92,0.0
2013-08-30,77.5,4.25,0.0
2013-08-31,79.5,4.92,0.0
2013-09-01,79.5,2.46,0.0
2013-09-02,78.0,0.89,0.0
2013-09-03,75.0,2.91,0.0
2013-09-04,73.5,5.37,0.0
2013-09-05,72.0,5.59,0.0
2013-09-06,64.5,3.58,0.0
2013-09-07,69.5,3.36,0.0
2013-09-08,73.5,6.49,0.0
2013-09-09,65.0,4.25,0.0
2013-09-10,77.5,5.82,0.0
