Date,diff
2013-05,-4552
2013-05,5766
2013-05,-1131
2013-05,-597
2013-06,599
2013-06,7738
2013-06,-8991
2013-06,8990
2013-06,-156
2013-06,-3701
2013-06,-12339
2013-06,18506
2013-06,3337
2013-06,-18732
2013-06,10134
2013-06,4322
2013-06,-10178
2013-06,7641
2013-06,10853
2013-06,-3666
2013-06,-2332
2013-06,-6452
2013-06,11441
2013-06,2727
2013-06,1666
2013-06,1225
2013-06,-1232
2013-06,-4017
2013-06,3790
2013-06,1896
2013-06,-4228
2013-06,2501
2013-06,2352
2013-06,-5662
2013-07,-7134
2013-07,6531
2013-07,-1173
2013-07,495
2013-07,-463
2013-07,-1844
2013-07,-9
2013-07,2375
2013-07,4866
2013-07,-224
2013-07,-1016
2013-07,-6872
2013-07,7315
2013-07,3413
2013-07,-980
2013-07,2192
2013-07,415
2013-07,-1950
2013-07,-2555
2013-07,-1522
2013-07,5549
2013-07,-4907
2013-07,7509
2013-07,3403
2013-07,-4492
2013-07,3292
2013-07,-2368
2013-07,-10351
2013-07,13238
2013-07,2964
2013-07,-237
2013-08,-19720
2013-08,17629
2013-08,-6481
2013-08,5930
2013-08,1656
2013-08,1215
2013-08,-3854
2013-08,-7057
2013-08,863
2013-08,10442
2013-08,-6207
2013-08,-1515
2013-08,-10077
2013-08,17868
2013-08,-515
2013-08,-1671
2013-08,3033
2013-08,-12772
2013-08,6410
2013-08,3233
2013-08,563
2013-08,-10971
2013-08,7969
2013-08,-667
2013-08,-1408
2013-08,-1829
2013-08,4446
2013-08,-6996
2013-08,6364
2013-08,-1756
2013-08,-8323
2013-09,-217
2013-09,-4236
2013-09,12869
2013-09,5122
2013-09,-1268
2013-09,113
2013-09,-1980
2013-09,-1414
2013-09,3003
2013-09,1499
2013-09,-1505
2013-09,-5468
2013-09,6135
2013-09,-5837
2013-09,480
2013-09,-737
2013-09,8011
2013-09,-181
2013-09,984
2013-09,-25
2013-09,-8547
2013-09,-2243
2013-09,5858
2013-09,3991
2013-09,-315
2013-09,-392
2013-09,-879
2013-09,-2429
2013-09,-2899
2013-09,5039
2013-10,3693
2013-10,895
2013-10,-1195
2013-10,-383
2013-10,-6406
2013-10,-8654
2013-10,-1525
2013-10,14696
2013-10,-1593
2013-10,-6500
2013-10,2274
2013-10,-901
2013-10,-3979
2013-10,4685
2013-10,5273
2013-10,-815
2013-10,-281
2013-10,1412
2013-10,-9306
2013-10,-453
2013-10,6332
2013-10,1393
2013-10,-4383
2013-10,-120
2013-10,-1527
2013-10,-7058
2013-10,-673
2013-10,8318
2013-10,1982
2013-10,1537
2013-10,-3826
2013-11,-798
2013-11,495
2013-11,-11274
2013-11,7060
2013-11,4705
2013-11,3606
2013-11,-9936
2013-11,3183
2013-11,-7510
2013-11,-2252
2013-11,8274
2013-11,-8039
2013-11,3999
2013-11,3690
2013-11,2332
2013-11,-4318
2013-11,-7811
2013-11,14321
2013-11,-4085
2013-11,-1347
2013-11,2803
2013-11,-3586
2013-11,-7107
2013-11,-10327
2013-11,10580
2013-11,-4443
2013-11,-7591
2013-11,-2947
2013-11,5299
2013-11,-362
2013-12,3717
2013-12,12200
2013-12,3244
2013-12,706
2013-12,-1250
2013-12,-17596
2013-12,5242
2013-12,-5976
2013-12,5300
2013-12,-2245
2013-12,6422
2013-12,-1817
2013-12,829
2013-12,-15398
2013-12,4144
2013-12,8715
2013-12,-8290
2013-12,7694
2013-12,4063
2013-12,3540
2013-12,-4487
2013-12,-3024
2013-12,-8822
2013-12,4455
2013-12,-8448
2013-12,7047
2013-12,2079
2013-12,218
2013-12,-8797
2013-12,10152
2013-12,-2873
2014-01,-4790
2014-01,2775
2014-01,-8046
2014-01,1206
2014-01,443
2014-01,7544
2014-01,-3337
2014-01,3018
2014-01,4409
2014-01,-3886
2014-01,-2352
2014-01,5216
2014-01,8828
2014-01,-11528
2014-01,12651
2014-01,-1972
2014-01,312
2014-01,-11618
2014-01,-454
2014-01,4813
2014-01,-10410
2014-01,-1409
2014-01,2981
2014-01,1158
2014-01,-2185
2014-01,746
2014-01,8842
2014-01,-3238
2014-01,-228
2014-01,2360
2014-01,2688
2014-02,-2089
2014-02,1212
2014-02,-12170
2014-02,6712
2014-02,-6475
2014-02,5151
2014-02,1246
2014-02,-2833
2014-02,-1113
2014-02,2116
2014-02,1615
2014-02,273
2014-02,-8553
2014-02,3051
2014-02,-1517
2014-02,850
2014-02,2071
2014-02,294
2014-02,3758
2014-02,3486
2014-02,-3426
2014-02,4716
2014-02,306
2014-02,-448
2014-02,-116
2014-02,-1835
2014-02,970
2014-02,-2655
2014-03,-539
2014-03,-927
2014-03,-399
2014-03,2876
2014-03,3440
2014-03,-1176
2014-03,978
2014-03,3383
2014-03,-4819
2014-03,5544
2014-03,7592
2014-03,-10163
2014-03,-4109
2014-03,5581
2014-03,1919
2014-03,-8924
2014-03,2941
2014-03,4365
2014-03,-3659
2014-03,6912
2014-03,967
2014-03,-595
2014-03,-8825
2014-03,1883
2014-03,2659
2014-03,-1850
2014-03,2628
2014-03,1859
2014-03,-15155
2014-03,3775
2014-03,10041
2014-04,7477
2014-04,-1864
2014-04,4080
2014-04,-14786
2014-04,6740
2014-04,2310
2014-04,-6774
2014-04,7767
2014-04,5558
2014-04,528
2014-04,-439
2014-04,490
2014-04,-252
2014-04,2211
2014-04,-20362
2014-04,10343
2014-04,2477
2014-04,-1781
2014-04,4132
2014-04,-6419
2014-04,9496
2014-04,-38
2014-04,-239
2014-04,1174
2014-04,-216
2014-04,-8514
2014-04,2308
2014-04,7186
2014-04,-11276
2014-04,-16910
2014-05,26355
2014-05,6142
2014-05,-7336
2014-05,-4804
2014-05,10256
2014-05,2271
2014-05,233
2014-05,-16692
2014-05,5472
2014-05,-811
2014-05,7372
2014-05,3658
2014-05,1072
2014-05,-3194
2014-05,-4240
2014-05,-9286
2014-05,13580
2014-05,-3115
2014-05,4737
2014-05,4165
2014-05,-1435
2014-05,-10740
2014-05,142
2014-05,-8392
2014-05,9763
2014-05,1553
2014-05,6346
2014-05,-3499
2014-05,4518
2014-05,691
2014-05,-7216
2014-06,3938
2014-06,3546
2014-06,-5639
2014-06,7243
2014-06,-12582
2014-06,14126
2014-06,-6874
2014-06,-985
2014-06,-12887
2014-06,16414
2014-06,-3150
2014-06,-1623
2014-06,-11950
2014-06,11196
2014-06,-403
2014-06,7539
2014-06,395
2014-06,21
2014-06,-3657
2014-06,3500
2014-06,-5502
2014-06,-1025
2014-06,4042
2014-06,3544
2014-06,-1851
2014-06,575
2014-06,1087
2014-06,-8013
2014-06,-900
2014-06,6070
2014-07,1116
2014-07,-9205
2014-07,1313
2014-07,-15228
2014-07,10266
2014-07,1499
2014-07,8460
2014-07,659
2014-07,1854
2014-07,2191
2014-07,-1363
2014-07,-7003
2014-07,-4324
2014-07,1084
2014-07,-3180
2014-07,13617
2014-07,3386
2014-07,-2470
2014-07,-7583
2014-07,1213
2014-07,5807
2014-07,1487
2014-07,-2942
2014-07,2911
2014-07,-651
2014-07,-9886
2014-07,-213
2014-07,6691
2014-07,4838
2014-07,9
2014-07,-1925
2014-08,-3453
2014-08,-5816
2014-08,-2159
2014-08,9554
2014-08,760
2014-08,1774
2014-08,-9
2014-08,-2566
2014-08,-1666
2014-08,-6362
2014-08,7498
2014-08,-8246
2014-08,2107
2014-08,8165
2014-08,-3339
2014-08,603
2014-08,-5904
2014-08,7628
2014-08,1061
2014-08,178
2014-08,-2173
2014-08,-3770
2014-08,-4191
2014-08,1466
2014-08,5822
2014-08,1693
2014-08,-1037
2014-08,155
2014-08,-2763
